#  P1, Q1, P2, Q2
0.00,0.00,0.00,0.00
61.25,36.75,61.25,36.75
55.13,24.50,55.13,24.50
73.50,49.00,73.50,49.00
36.75,18.38,36.75,18.38
36.75,12.25,36.75,12.25
158.54,79.27,58.26,29.13
158.54,79.27,58.26,29.13
47.56,15.85,17.48,5.83
47.56,15.85,17.48,5.83
35.67,23.78,13.11,8.74
36.75,21.44,36.75,21.44
36.75,21.44,36.75,21.44
95.12,63.41,34.96,23.30
35.85,5.98,38.35,6.39
35.85,11.95,38.35,12.78
35.85,11.95,38.35,12.78
53.78,23.90,57.52,25.57
55.13,0.00,55.13,0.00
55.13,0.00,55.13,0.00
55.13,0.00,55.13,0.00
55.13,0.00,55.13,0.00
55.13,30.63,55.13,30.63
257.25,122.50,257.25,122.50
257.25,122.50,257.25,122.50
36.75,15.31,36.75,15.31
36.75,15.31,36.75,15.31
36.75,12.25,36.75,12.25
73.50,42.88,73.50,42.88
122.50,367.50,122.50,367.50
89.63,41.83,95.87,44.74
125.49,59.76,134.22,63.91
35.85,23.90,38.35,25.57
